longi,lati,description,zip,address
-80.350297,25.679601,,33176,9651 SW 96th Ct
-80.174316,25.894177,,33161,1200 NE 129th St
-80.397391,25.7519,,33175,1812 SW 124th Pl
-80.174316,25.894177,,33161,1200 NE 129th St
-80.135391,25.950938,,33180,3330 NE 190th St Apt 1617
-80.433421,25.746126,,33185,14746 SW 22nd Ter
-80.169351,25.914097,,33161,1481 NE 150th St Apt 103
-80.191834,25.768177,,33131,
-80.135391,25.950938,,33180,3330 NE 190th St Apt 1617
-80.433421,25.746126,,33185,14746 SW 22nd Ter
-80.191834,25.768177,,33131,
-80.134042,25.953817,,33180,3300 NE 192nd St Apt 1607
-80.138416,25.789416,,33139,1611 Michigan Ave Apt 2
-80.190166,25.765005,,33131,950 Brickell Bay Dr Apt 1901
-80.376808,25.854164,,33178,8851 NW 110th Pl Unit 1405
-80.138416,25.789416,,33139,1611 Michigan Ave Apt 2
-80.376808,25.854164,,33178,8851 NW 110th Pl Unit 1405
-80.190166,25.765005,,33131,950 Brickell Bay Dr Apt 1901
,,,33160,W 32nd St
-80.141573,25.92698,,33160,2935 NE 163rd St Apt 2M
,,,33160,W 32nd St
-80.209265,25.938461,,33169,502 NW 179th St Unit 1
-80.141573,25.92698,,33160,2935 NE 163rd St Apt 2M
-80.209265,25.938461,,33169,502 NW 179th St Unit 1
-80.269582,25.714756,,33146,5835 Marius St
-80.189519,25.768742,,33131,
-80.269582,25.714756,,33146,5835 Marius St
-80.134042,25.953817,,33180,3300 NE 192nd St Apt 1607
-80.189519,25.768742,,33131,
-80.156617,25.684694,,33149,600 Grapetree Dr Apt 3FN
-80.363486,25.841407,,33178,10235 NW 74th Ter
-80.147783,25.848437,,33141,1865 79th St Cswy Apt 7K
-80.363486,25.841407,,33178,10235 NW 74th Ter
-80.156617,25.684694,,33149,600 Grapetree Dr Apt 3FN
-80.147783,25.848437,,33141,1865 79th St Cswy Apt 7K
-80.366412,25.647792,,33176,
-80.129521,25.973394,,33180,3600 Yacht Club Dr Apt 403
-80.366412,25.647792,,33176,
-80.20214,25.773347,,33130,10 SW South River Dr Ph 07I
-80.129521,25.973394,,33180,3600 Yacht Club Dr Apt 403
-80.121741,25.922813,,33160,15811 Collins Ave Apt 802
-80.120893,25.874485,,33154,8877 Collins Ave Apt 805
-80.195199,25.770305,,33130,90 SW 3rd St Apt 4307
-80.120893,25.874485,,33154,8877 Collins Ave Apt 805
-80.120893,25.874485,,33154,8877 Collins Ave Apt 805
-80.195199,25.770305,,33130,90 SW 3rd St Apt 4307
-80.121741,25.922813,,33160,15811 Collins Ave Apt 802
-80.195199,25.770305,,33130,90 SW 3rd St Apt 4307
-80.300836,25.83184,,33166,
-80.426709,25.66018,,33186,11540 SW 143rd Ct
-80.300836,25.83184,,33166,
-80.123453,25.898965,,33154,10295 Collins Ave Unit 1408
-80.426709,25.66018,,33186,11540 SW 143rd Ct
-80.202142,25.919296,,33169,112 NW 158th St
-80.35113,25.590115,,33157,19035 Bel Aire Dr
-80.20214,25.773347,,33130,10 SW South River Dr Ph 07I
-80.35113,25.590115,,33157,19035 Bel Aire Dr
-80.120569,25.841871,,33140,5959 Collins Ave Apt 606
-80.120569,25.841871,,33140,5959 Collins Ave Apt 606
-80.120569,25.841871,,33140,5959 Collins Ave Apt 606
-80.120893,25.874485,,33154,8877 Collins Ave Apt 805
-80.316227,25.65023,,33156,12990 SW 75th Ave
-80.197995,25.856401,,33150,20 NW 89th St
-80.316227,25.65023,,33156,12990 SW 75th Ave
-80.150285,25.935368,,33160,17301 Biscayne Blvd Apt 1201
-80.197995,25.856401,,33150,20 NW 89th St
-80.328043,25.754505,,33155,1630 SW 82nd Ave
-80.193814,25.761093,,33130,1300 S Miami Ave Unit 4202
-80.397391,25.7519,,33175,1812 SW 124th Pl
-80.440523,25.754902,,33194,15166 SW 12th Ter
-80.328043,25.754505,,33155,1630 SW 82nd Ave
-80.193814,25.761093,,33130,1300 S Miami Ave Unit 4202
-80.440523,25.754902,,33194,15166 SW 12th Ter
-80.19244,25.762767,,33131,1080 Brickell Ave Unit 1903
-80.126929,25.953426,,33180,19195 Mystic Pointe Dr Apt 1502
-80.19244,25.762767,,33131,1080 Brickell Ave Unit 1903
-80.218743,25.735125,,33133,3 Grove Isle Dr Unit C806
-80.120893,25.874485,,33154,8877 Collins Ave Apt 805
-80.218743,25.735125,,33133,3 Grove Isle Dr Unit C806
-80.120251,25.834097,,33140,5445 Collins Ave Apt 526
-80.356207,25.569964,,33189,21201 SW 102nd Ave
-80.150285,25.935368,,33160,17301 Biscayne Blvd Apt 1201
-80.356207,25.569964,,33189,21201 SW 102nd Ave
-80.120251,25.834097,,33140,5445 Collins Ave Apt 425
-80.120251,25.834097,,33140,5445 Collins Ave Apt 526
-80.120251,25.834097,,33140,5445 Collins Ave Apt 425
-80.156699,25.952901,,33180,19201 NE 22nd Ave
-80.120319,25.94406,,33160,18101 Collins Ave Apt 1901
-80.156699,25.952901,,33180,19201 NE 22nd Ave
-80.369205,25.623293,,33157,10825 SW 157th Ter
-80.120319,25.94406,,33160,18101 Collins Ave Apt 1901
-80.261206,25.723207,,33146,3621 S Le Jeune Rd
-80.128977,25.790359,,33139,100 Lincoln Rd Unit 1223
-80.120787,25.872896,,33154,8777 Collins Ave Apt 303
-80.121741,25.922813,,33160,15811 Collins Ave Apt 802
-80.128977,25.790359,,33139,100 Lincoln Rd Unit 1223
-80.261206,25.723207,,33146,3621 S Le Jeune Rd
-80.120787,25.872896,,33154,8777 Collins Ave Apt 303
-80.129251,25.952648,,33180,3600 Mystic Pointe Dr Apt 802
-80.369869,25.599088,,33157,10956 SW 182nd Ln
-80.129251,25.952648,,33180,3600 Mystic Pointe Dr Apt 802
-80.13589,25.779276,,33139,851 Meridian Ave Apt 26
-80.369869,25.599088,,33157,10956 SW 182nd Ln
-80.125829,25.805822,,33140,2925 Indian Creek Dr Unit 226
-80.202142,25.919296,,33169,112 NW 158th St
-80.358592,25.80242,,33172,2995 NW 99th Pl
-80.369205,25.623293,,33157,10825 SW 157th Ter
-80.202142,25.919296,,33169,112 NW 158th St
-80.125829,25.805822,,33140,2925 Indian Creek Dr Unit 226
-80.358592,25.80242,,33172,2995 NW 99th Pl
-80.189464,25.793963,,33132,275 NE 18th St Apt 401
-80.1465,25.927469,,33160,2653 NE 164th St Unit 38
-80.139951,25.948765,,33180,2950 NE 188th St Apt 510
-80.1465,25.927469,,33160,2653 NE 164th St Unit 38
-80.135866,25.778513,,33139,801 Meridian Ave Apt 5E
-80.126929,25.953426,,33180,19195 Mystic Pointe Dr Apt 1502
-80.135866,25.778513,,33139,801 Meridian Ave Apt 5E
-80.139951,25.948765,,33180,2950 NE 188th St Apt 510
-80.338821,25.764014,,33174,511 SW 88th Pl
-80.37993,25.595962,,33157,11540 SW 185th Ter
-80.139951,25.948765,,33180,2950 NE 188th St Apt 510
-80.37993,25.595962,,33157,11540 SW 185th Ter
-80.137318,25.947462,,33160,3255 NE 184th St Apt 12205
-80.380011,25.828482,,33178,11277 NW 59th Ter
-80.137318,25.947462,,33160,3255 NE 184th St Apt 12205
-80.137318,25.947462,,33160,3255 NE 184th St Apt 12205
-80.189464,25.793963,,33132,275 NE 18th St Apt 401
-80.380011,25.828482,,33178,11277 NW 59th Ter
-80.137318,25.947462,,33160,3255 NE 184th St Apt 12205
-80.12323,25.929447,,33160,150 SE Sunny Isles Blvd Unit 1-1205
-80.12323,25.929447,,33160,150 SE Sunny Isles Blvd Unit 1-1205
-80.126929,25.953426,,33180,19195 Mystic Pointe Dr Apt 1502
-80.12323,25.929447,,33160,150 SE Sunny Isles Blvd Unit 1-1205
-80.137747,25.963962,,33180,20379 W Country Club Dr Apt 1537
-80.137318,25.947462,,33160,3255 NE 184th St Apt 12205
-80.137747,25.963962,,33180,20379 W Country Club Dr Apt 1537
-80.177993,25.846955,,33138,910 NE 78th St
-80.133903,25.788855,,33139,1573 Pennsylvania Ave Unit 9N
-80.177993,25.846955,,33138,910 NE 78th St
-80.337927,25.760542,,33174,8790 SW 9th Ter Unit A
-80.177993,25.846955,,33138,910 NE 78th St
-80.177993,25.846955,,33138,910 NE 78th St
-80.133903,25.788855,,33139,1573 Pennsylvania Ave Unit 9N
-80.420723,25.717721,,33175,5205 SW 140th Pl
-80.126076,25.957607,,33180,19667 Turnberry Way Apt 11C
-80.126076,25.957607,,33180,19667 Turnberry Way Apt 11C
-80.133903,25.788855,,33139,1573 Pennsylvania Ave Unit 9N
-80.420723,25.717721,,33175,5205 SW 140th Pl
-80.133903,25.788855,,33139,1573 Pennsylvania Ave Unit 9N
,,,33160,W 28th St
-80.252693,25.728599,,33133,3655 Florida Ave
,,,33160,W 28th St
,,,33160,W 28th St
,,,33160,W 28th St
-80.252693,25.728599,,33133,3655 Florida Ave
,,,33160,W 28th St
-80.337927,25.760542,,33174,8790 SW 9th Ter Unit A
-80.255333,25.720415,,33133,3851 Poinciana Ave
,,,33160,W 31st St
,,,33160,W 28th St
,,,33160,W 31st St
-80.126076,25.957607,,33180,19667 Turnberry Way Apt 11C
-80.314614,25.687935,,33156,7355 SW 89th St Apt 517N
-80.319545,25.77357,,33126,7669 NW 3rd St
-80.119624,25.846033,,33141,6365 Collins Ave Apt 2206
-80.314614,25.687935,,33156,7355 SW 89th St Apt 517N
-80.119624,25.846033,,33141,6365 Collins Ave Apt 2206
-80.319545,25.77357,,33126,7669 NW 3rd St
-80.120207,25.835469,,33140,5555 Collins Ave Apt 16Z
-80.13589,25.779276,,33139,851 Meridian Ave Apt 26
-80.120207,25.835469,,33140,5555 Collins Ave Apt 16Z
-80.353982,25.666996,,33176,9832 SW 110th St
-80.444616,25.716761,,33185,15460 SW 50 Trl
-80.353982,25.666996,,33176,9832 SW 110th St
-80.1513,25.890482,,33181,12385 Keystone Island Dr
-80.222502,25.792253,,33125,1645 NW 18th St
-80.1513,25.890482,,33181,12385 Keystone Island Dr
-80.334439,25.771785,,33126,172 NW 85th Ct
-80.199806,25.799275,,33127,250 NW 23rd St Unit 307
-80.334439,25.771785,,33126,172 NW 85th Ct
-80.222502,25.792253,,33125,1645 NW 18th St
-80.200436,25.889892,,33168,12505 NW 1st Ave
-80.246526,25.852313,,33147,
-80.200436,25.889892,,33168,12505 NW 1st Ave
-80.330111,25.77897,,33126,8251 NW 8th St Apt 411
-80.222502,25.792253,,33125,1645 NW 18th St
-80.330111,25.77897,,33126,8251 NW 8th St Apt 411
-80.413458,25.763126,,33184,421 SW 135th Ave
-80.130142,25.970136,,33180,3558 Magellan Cir Apt 132
-80.314751,25.654372,,33156,7420 SW 125th St
-80.186445,25.768564,,33131,801 Brickell Key Blvd Apt 2408
-80.292269,25.678575,,33156,9940 SW 60th Ct
-80.171911,25.684447,,33149,511 N Mashta Dr
-80.429107,25.745106,,33175,14432 SW 23rd Ter
-80.123074,25.959205,,33160,170 S Is
-80.153617,25.891771,,33181,2135 Alamanda Dr
-80.145711,25.847659,,33141,7601 E Treasure Dr Apt 509
-80.174622,25.865638,,33138,1178 NE 98th St
-80.190742,25.766569,,33130,90 SW 3rd St Apt 2604
-80.145711,25.847659,,33141,7601 E Treasure Dr Apt 509
-80.454078,25.704722,,33193,16125 SW 65th Ln
-80.27038,25.705856,,33146,6905 Talavera St
-80.260492,25.712458,,33133,4150 Hardie Ave
-80.290989,25.637681,,33158,13621 Deering Bay Dr Apt 203
-80.454078,25.704722,,33193,16125 SW 65th Ln
-80.27038,25.705856,,33146,6905 Talavera St
-80.260492,25.712458,,33133,4150 Hardie Ave
-80.290989,25.637681,,33158,13621 Deering Bay Dr Apt 203
-80.186445,25.768564,,33131,801 Brickell Key Blvd Apt 2408
-80.413458,25.763126,,33184,421 SW 135th Ave
-80.153617,25.891771,,33181,2135 Alamanda Dr
-80.314751,25.654372,,33156,7420 SW 125th St
-80.174622,25.865638,,33138,1178 NE 98th St
-80.12252,25.859379,,33141,300 74th St Apt 11
-80.171911,25.684447,,33149,511 N Mashta Dr
-80.314593,25.686581,,33156,9066 SW 73rd Ct Apt 507
-80.140732,25.965119,,33180,20381 NE 30th Ave Unit 308-7
-80.12252,25.859379,,33141,300 74th St Apt 11
-80.159173,25.888067,,33181,11945 NE 19th Dr Apt 1
-80.190742,25.766569,,33130,90 SW 3rd St Apt 2604
-80.198145,25.839035,,33150,56 NW 70th St
-80.215797,25.897813,,33168,1020 NW 135th St
-80.198145,25.839035,,33150,56 NW 70th St
-80.127554,25.922551,,33160,500 Bayview Dr Apt 2025
-80.215797,25.897813,,33168,1020 NW 135th St
-80.160635,25.699709,,33149,101 Ocean Lane Dr Apt 409
-80.162073,25.691337,,33149,201 Galen Dr Unit 212W
-80.191839,25.758903,,33131,1435 Brickell Ave Unit 3111
-80.125164,25.937587,,33160,231 174th St Apt 1511
-80.162073,25.691337,,33149,201 Galen Dr Unit 212W
-80.160635,25.699709,,33149,101 Ocean Lane Dr Apt 409
-80.191839,25.758903,,33131,1435 Brickell Ave Unit 3111
-80.262866,25.703845,,33143,441 San Servando Ave
-80.262866,25.703845,,33143,441 San Servando Ave
-80.138677,25.939019,,33160,1000 E Island Blvd Apt 302
-80.190742,25.766569,,33130,90 SW 3rd St Apt 2604
-80.138677,25.939019,,33160,1000 E Island Blvd Apt 302
-80.262866,25.703845,,33143,441 San Servando Ave
-80.439018,25.671236,,33196,15077 SW 103rd Ter Apt 8106
-80.127554,25.922551,,33160,500 Bayview Dr Apt 2025
-80.439018,25.671236,,33196,15077 SW 103rd Ter Apt 8106
-80.138416,25.789416,,33139,1611 Michigan Ave Apt 17
-80.121903,25.883791,,33154,9401 Collins Ave Unit 206
-80.138416,25.789416,,33139,1611 Michigan Ave Apt 17
-80.367364,25.824891,,33178,10564 NW 57th St
-80.12025,25.97029,,33160,547 Golden Beach Dr
-80.367364,25.824891,,33178,10564 NW 57th St
-80.191834,25.768177,,33131,68 SE 6th St Apt 1702
-80.129401,25.858151,,33141,83 N Shore Dr
-80.12025,25.97029,,33160,547 Golden Beach Dr
-80.444683,25.691678,,33193,15620 SW 80th St Apt 108
-80.162194,25.690741,,33149,200 Galen Dr Apt 314
-80.444683,25.691678,,33193,15620 SW 80th St Apt 108
-80.369223,25.831747,,33178,6330 NW 105th Pl
-80.12025,25.97029,,33160,547 Golden Beach Dr
-80.369223,25.831747,,33178,6330 NW 105th Pl
-80.129528,25.884539,,33154,1020 94th St Apt 303
-80.124989,25.880246,,33154,9224 Byron Ave
-80.129528,25.884539,,33154,1020 94th St Apt 303
-80.300324,25.699931,,33143,6635 SW 76th Ter
-80.124989,25.880246,,33154,9224 Byron Ave
-80.382139,25.841719,,33178,7522 NW 113th Path
-80.317138,25.614007,,33157,7720 SW 168th Ter
-80.162421,25.687293,,33149,733 Crandon Blvd Ph 6
-80.317138,25.614007,,33157,7720 SW 168th Ter
-80.382139,25.841719,,33178,7522 NW 113th Path
-80.162421,25.687293,,33149,733 Crandon Blvd Ph 6
-80.162194,25.690741,,33149,200 Galen Dr Apt 314
-80.153617,25.891771,,33181,2135 Alamanda Dr
-80.314751,25.654372,,33156,7420 SW 125th St
-80.454078,25.704722,,33193,16125 SW 65th Ln
-80.27038,25.705856,,33146,6905 Talavera St
-80.130142,25.970136,,33180,3558 Magellan Cir Apt 132
-80.429107,25.745106,,33175,14432 SW 23rd Ter
-80.186445,25.768564,,33131,801 Brickell Key Blvd Apt 2408
-80.413458,25.763126,,33184,421 SW 135th Ave
-80.290989,25.637681,,33158,13621 Deering Bay Dr Apt 203
-80.123074,25.959205,,33160,170 S Is
-80.292269,25.678575,,33156,9940 SW 60th Ct
-80.130142,25.970136,,33180,3558 Magellan Cir Apt 132
-80.429107,25.745106,,33175,14432 SW 23rd Ter
-80.174622,25.865638,,33138,1178 NE 98th St
-80.260492,25.712458,,33133,4150 Hardie Ave
-80.43893,25.662397,,33196,11263 SW 151st Pl
-80.350516,25.815763,,33178,4633 NW 94th Pl
-80.134862,25.782587,,33139,1135 Euclid Ave Unit 105
-80.382824,25.845583,,33178,7953 NW 114th Pl
-80.380293,25.665233,,33176,11410 SW 110th Ln
-80.162194,25.690741,,33149,200 Galen Dr Apt 314
-80.191999,25.768603,,33131,31 SE 6th St Apt 1102
-80.174622,25.865638,,33138,1178 NE 98th St
-80.273274,25.766815,,33134,4784 SW 5th St
longi,lati,description,zip,address
